_key,fr,en
classified.details.greenhouse_gases_emission,"Émissions de gaz à effet de serre (GES) pour le chauffage, la production d'eau chaude sanitaire et le refroidissement (kWh/m² par an)","Greenhouse Gases Emission (kWh/m² per year)"
classified.details.energy_consumption,"Consommations énergétiques (en énergie primaire) pour le chauffage, la production d'eau chaude sanitaire et le refroidissement (kWh/m² par an)","Energy Consumption (kWh/m² per year)"
classified.details.work_required,"Travaux à prévoir","Work Required"
classified.address,"Vous pouvez, soit:<br/>- déplacer vous-même le marqueur sur la carte<br/>- taper l'adresse pour cibler plus précisément le marqueur, puis valider l'adresse","You can, either:<br/>- move the marker on the map<br/>- type the address to move the marker precisely, then confirm it."
classified.category.empty_value,"Choisissez une catégorie","Choose a category"
classified.field.error,"Ce champs doit être rempli.","This field must be set."
classified.contact_type.0,"un particulier","an individual"
classified.contact_type.1,"un professionel","a professional"
classified.contact.company,Société,Company
classified.medias,"Photos (Vous pouvez sélectionner jusqu'à 3 images)","Pictures (You can select until 3 pictures)"
classified.medias.media,Photo,Picture
classified.city.placeholder,"Veuillez saisir une ville","Please type a city"
classified.media.extension.error,"Les types de fichier autorisés sont jpg, jpeg, png.","Allowed picture types are jpeg, jpeg, png."
classified.since,"En ligne depuis le","Online since"
classified.share,"Partagez sur",Share
classified.details.energetic_performance,"Performance énergétique","Energetic Performance"
classified.details.energetic_performance.measuring_unit,"kWh/m² par an","kWh/m² per year"
classified.data.empty,"Non renseigné","not Provided"
classified.details.building_year,"Année de construction","Building Year"
classified.geolocation,Carte,Map
classified.phone.not_exposed,"Non communiquée<br/>(l'auteur de l'annonce désire seulement être contacté par email.<br/>Utilisez le bouton qui se trouve juste dessous)","not Provided<br/>(The advertiser of this classified wishes being only contacted by email.<br/>Use the button ""send mail"" above"
classified.action.contact_advertiser,"Contacter l'auteur de l'annonce","Contact the advertiser"
classified.action.warn,"Signaler cette annonce","Report this classified"
classified.action.add_to_favorites,"Ajouter à mes annonces favorites","Add to favorites"
classified.advertiser_action.title,"Réservé à l'auteur de l'annonce","Only for the advertiser"
classified.advertiser_action.top_list,"Remonter cette annonce en tête de liste","Bump this classified on the top"
classified.advertiser_action.highlight,"Mettre en avant cette annonce","Highlight this classified"
classified.advertiser_action.urgent,"Marquer cette annonce comme urgente","Mark as urgent"
classified.advertiser_action.delete,"Supprimer cette annonce","Delete this classified"
classified.seeMore,"Voir plus d'infos sur cette annonce",See more on this classified
search.city.placeholder,Veuillez saisir une ville,Please Enter a City
search.propertyTypes.placeholder,les types de propriété,Property Type
search.numRooms.placeholder,Nombre de pièces,Number of Rooms
search.numRooms.5more,5 et plus,5 and more
search.price.0,Budget compris entre,Budget between
search.price.1,et,and
search.minPrice,Budget min,Min Price
search.maxPrice,Budget max,Max Price
search.displayMoreFilters,Afficher plus de critères (bientôt),Display More Filters (soon)
search.button.title,Chercher,Search
search.displayClassifiedsFromSelectedMarkers,Afficher les annonces<br/>des marqueurs sélectionnés,Display Classifieds<br/>From Selected Markers
search.displayClassifiedsFromSelectedMarkers.toolTip,"Une fois votre recherche effectuée, les marqueurs placées sur la carte correspondent au nombre d’annonces trouvées dans le secteur.<br/><br/>Vous pouvez cliquer sur les marqueurs des secteurs qui vous intéressent, puis afficher l'ensemble des annonces correspondantes en cliquant sur le bouton ci-dessous.","Markers placed on the map represent the number of classifieds found in the area.<br/><br/>You can click on the markers you are insteresting in, then display the classified list by clicking on the button below."
search.map.loading,Chargement des résultats...,Loading...
search.propertyType,Type de propriétés,Property Type
search.numRooms,Pièces Min,Min Rooms
search.any,Indifférent,Any

classifiedList.sortBy,Trier par,Sort by
classifiedList.sortBy.leastExpensive,Annonces les moins chères,Least Expensive Classified
classifiedList.sortBy.mostExpensive,Annonces les plus chères,Most Expensive Classified
classifiedList.sortBy.mostRecent,Annonces les plus récentes,Most Recent Classified

footer.followus,SUIVEZ TOUTE L’ACTUALITÉ IMMOBILIÈRE,Follow News About Properties
footer.classified.sale,Annonces Vente,Sale
footer.classified.rent,Annonces Location,Rent
footer.about,A propos,About
footer.job,Emploi,Job
footer.media,Presse,Media
footer.help,Aide,Help
footer.conditions,Conditions générales d'utilisation,Terms of Use
footer.contact,Contact,Contact
footer.advertiser,Annonceurs,Advertisers
footer.advertiser.discoverOffers,Découvrez notre offre,Discover our offers
footer.copyright,"Copyright © 2015 WeGeoo Tous droits réservés  | WeGeoo, London, UK","Copyright © 2015 WeGeoo All Rights reserved  | WeGeoo, London, UK"
footer.use,L'utilisation de ce site Web implique l'acceptation des Conditions Générales d'Utilisation.,Use of this website means the acceptation of Conditions

classified.previous,Précédent,Previous
classified.next,Suivant, Next
classified.qrcode.help,"Scannez ce code avec votre smartphone pour accéder directement à l'annonce sur internet.<br/>Pour obtenir un lecteur de code, tapez qrcode sur votre application store.","Scan this code with your smartphone to get the classified web page.<br/>You can get a code reader by typing qrcode in your application store"
classified.undefined.title,Annonce introuvable,Unknown Classified

post.classified.posted,Annonce publiée correctement,Classified successfully posted
post.mail.activation.subject,Activation de votre annonce '%s',Your Classified Activation '%s'
post.title,Publier une annonce,Post a classified

activation.success,Activation de votre annonce,Classified Activation
activation.error,Erreur de publication de votre annonce,Classified Activation Error
